iter	Passed	Remaining
909	1046	103
910	1046	102
911	1047	101
912	1048	99
913	1049	98
914	1049	97
915	1050	96
916	1051	95
917	1052	93
918	1052	92
919	1053	91
920	1054	90
921	1055	89
922	1057	88
923	1058	87
924	1059	85
925	1060	84
926	1062	83
927	1063	82
928	1064	81
929	1065	80
930	1067	79
931	1068	77
932	1069	76
933	1072	75
934	1075	74
935	1076	73
936	1077	72
937	1079	71
938	1080	70
939	1081	69
940	1081	67
941	1082	66
942	1082	65
943	1084	64
944	1085	63
945	1085	61
946	1086	60
947	1086	59
948	1087	58
949	1087	57
950	1088	56
951	1089	54
952	1090	53
953	1091	52
954	1092	51
955	1094	50
956	1094	49
957	1095	48
958	1095	46
959	1096	45
960	1096	44
961	1097	43
962	1097	42
963	1098	41
964	1100	39
965	1101	38
966	1101	37
967	1102	36
968	1104	35
969	1105	34
970	1105	33
971	1106	31
972	1111	30
973	1113	29
974	1114	28
975	1115	27
976	1116	26
977	1116	25
978	1118	23
979	1118	22
980	1119	21
981	1121	20
982	1121	19
983	1122	18
984	1122	17
985	1123	15
986	1123	14
987	1124	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1128	7
993	1129	6
994	1129	5
995	1130	4
996	1131	3
997	1132	2
998	1134	1
999	1134	0
